Mer Number,Cust-Code,Customer,Cust Part No,Date,Stock,Alloc Stock,Location,PCB Type,Fixture,New1,Partfinished,Notes,Spare1,Spare2,ISSUE LEVEL,Date3,Spare4,Spare5,Spare6,MAT,Fecreator,Toolingdate,Sparealpha,Sparenum,Fulldesc,S1,S2,S3,S4,Sd,Sdd,Newalp,Newalp2,Contimp ,Aalpha,Aalpha2,Numm1,Numm2,Qty Bonds,Qty drills ,Qty layers,Comments,Spared,Spared2,Sparen,Spaa,Spab,Tech,x
K47503,EL024,Elmatica AS Germany,48-4353-0-99 EP4353,16/02/2022,,,,ds_pnl,,,,,Use Foil,,B,,,ML5b,OGEL,NOBUILD,NDB,23/02/2022,Merlin,2,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47511,EL001,Elmatica AS Norway,4163488 PCB XSR Power Module GEC10047C_D,16/02/2022,,,,PV_BP_NE,,,,,Use Foil,x,C,,,Ml11a,OGEL,NOBUILD,NDB,04/03/2022,Jen,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47528,EL024,Elmatica AS Germany,LFSWEP4836B EP4836B,22/02/2022,4,,49,PV_BP_NE,,,,,Use CAC,,B,,,ML9a1,OGEL,NOBUILD,TM,24/02/2022,Merlin,6,,,Sanmina SCI,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47538,NC003,NCAB Group SWEDEN AB,ELM0059439 EP4675A1,23/02/2022,,,,6LYR,,,,,Use CAC,,A1,,,Ml10A,OGEL,NOBUILD,NDB,09/03/2022,Merlin,6,,,,,,,,,Y,,,Re-Tool,,4,,,,,,,,,,,x
K47569,EL024,Elmatica AS Germany,EP4832B **UP ISSED NOW K48954**,02/03/2022,,,,PV_BP_NE,,,,,Use CAC,,B,,,ML5c,OGEL,NOBUILD,NDB,09/03/2022,Anne,8,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47581,EL024,Elmatica AS Germany,1860-4368  PCB V&T ECU EMI BOARD 1 02899188 REV. 00,03/03/2022,,,,4LYR,,,,,Use CAC,,00,,,ML11,OGEL,NOBUILD,NDB,05/03/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47586,EL024,Elmatica AS Germany,1860-4369 PCB V&T ECU EMI BOARD 2 02899189 REV.00,04/03/2022,,,,4LYR,,,,,Use CAC,,00,,,ML11,OGEL,NOBUILD,NDB,07/03/2022,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47587,EL024,Elmatica AS Germany,1860-4366 PCB I-ECU EMI BOARD 02899190 REV.00,04/03/2022,,,,4LYR,,,,,Use CAC,,00,,,ML11,OGEL,NOBUILD,NDB,07/03/2022,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47594,NC003,NCAB Group SWEDEN AB,ELM0089572 EP4653B,04/03/2022,60,,27A,6LYR,,,,,Use CAC,,B,,,ML10A,OGEL,NOBUILD,NDB,14/03/2022,Anne,6,,,,,,,,,Y,No,,Up Issue,,4,,,,,,,,,,,x
K47603,EL024,Elmatica AS Germany,8081043 TVA1174470R2,07/03/2022,,,,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,NDB,11/03/2022,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47604,EL024,Elmatica AS Germany,8081046 TVA1174472R2,07/03/2022,,,,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,NDB,14/03/2022,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47620,EL001,Elmatica AS Norway,4123222 8851780323 PCB VIM Connector J3-J5,09/03/2022,,,,4LYR,,,,,Use CAC,,No Iss,,,ML14A,OGEL,NOBUILD,TM,01/04/2022,Merlin,4,,,,,,,,,Y,Yes,,Re-Tool,,1,,,,,,,,,,,x
K47627,EL024,Elmatica AS Germany,EP4965A,09/03/2022,,,,PTH,,,,,Use CAC,,A,,,ML5c,OGEL,NOBUILD,NDB,09/03/2022,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47636,EL024,Elmatica AS Germany,48-20102-3-99 With closed vias 6320-102-05 MAINBOARD CS2200 TUC rev05,10/03/2022,,,,PV_BP_NE,,,,,Use CAC,,05,,,ML5a,OGEL,NOBUILD,TM,23/03/2022,Atoy,10,,Yes,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K47649,EL024,Elmatica AS Germany,TEST2201003_P1A,11/03/2022,,,,6LYR,,,,,Use Foil,,1A,,,ML5b,OGEL,NOBUILD,NDB,19/03/2022,Atoy,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47653,EL024,Elmatica AS Germany,2000003272 TVKM2190048R2 upissue now K49248,14/03/2022,,,,6LYR,,,,,Use CAC,,No Iss,,,ML5b,OGEL,NOBUILD,TM,21/04/2022,Atoy,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47656,EL024,Elmatica AS Germany,EP4959A,15/03/2022,,,,PV_BP_NE,18286,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,NDB,20/03/2022,Jen,10,,,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K47666,EL024,Elmatica AS Germany,EP4963A,17/03/2022,3,,2,PV_BP,18900/18929,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,TM,19/03/2022,Atoy,12,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47674,EL024,Elmatica AS Germany,401036430 A1 PB AEU-2 PINGER PATCH BRD,21/03/2022,,,,PTH,,,,,Use Foil,,A1,,,ML14,OGEL,NOBUILD,NDB,22/03/2022,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47690,EL024,Elmatica AS Germany,2000000894 TVA1192311 R2,22/03/2022,,,,PTH,,,,,Use Foil,,R2,,,ML5a,OGEL,NOBUILD,NDB,28/03/2022,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47693,EL024,Elmatica AS Germany,EP4961A,23/03/2022,,,,PV_BP,18271,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,NDB,29/03/2022,Jen,16,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K47712,EL024,Elmatica AS Germany,EP4960A,28/03/2022,,,,PV_BP,19525,,,,Use CAC,,A,,,ML,OGEL,NOBUILD,TM,30/03/2022,Atoy,16,,,,,,,,,Y,Yes,,Up Issue,,6,,,,,,,,,,,x
K47718,EL024,Elmatica AS Germany,401036595A1 PB TEU,29/03/2022,,,,8LYR,,,,,Use Foil,,A1,,,ML14,OGEL,NOBUILD,NDB,31/03/2022,Anne,8,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47719,EL001,Elmatica AS Norway,9102048-3 PCB 22-10024-06.1 Retool now K48074,30/03/2022,,,,PV_BPX,,,,,Use CAC,,3,,,ML5b,OGEL,NOBUILD,DF,01/04/2022,Merlin,6,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K47731,EL024,Elmatica AS Germany,5013177G TVKM1170345 Rev I now K47799,31/03/2022,,,,10LYR,,,,ON HOLD S,Use Foil,,I,,,,Yes,NOBUILD,TM,05/04/2022,Atoy,10,,,,,,,,,,No,,New,,,,,,,,,,,,,x
K47732,EL024,Elmatica AS Germany,5013245I TVKM1170403 Rev J retool now K47951,31/03/2022,,,,10LYR,17843/17881/17882,,,,Use Foil,,J,,,,SIEL,NOBUILD,TM,22/04/2022,Atoy,10,,,,,,,,,Y,No,,New,,0,,,,,,,,,,,x
K47762,EL024,Elmatica AS Germany,1860-5624 OHDU MAINBOARD 8941260-012 REV.A UTG.A upissue now K47845,11/04/2022,,,,PV_BP_NE,,,,,,,A,,,,Yes,K47189,,12/04/2022,Atoy,12,,,,,,,,,,Yes,,Up Issue,,,,,,,,,,,,,x
K47769,EL024,Elmatica AS Germany,1860-5283  PB TX 401025007 REV .B UTG. 2,13/04/2022,,,,12PV,,,,,,,B,,,ML4a,SIEL,,,,,12,,,,,,,,,,No,,New,,1,,,,,,,,,,,x
K47799,EL024,Elmatica AS Germany,5013177H  TVKM1170345 K now K47952,21/04/2022,,,,10LYR,17831/17883,,,,Use Foil,,H,,,,SIEL,NOBUILD,TM,26/04/2022,Atoy,10,,,,,,,,,Y,No,,Up Issue,,0,,,,,,,,,,,x
K47802,EL001,Elmatica AS Norway,4036551 3AQ24941AAAA_PB_ED01,22/04/2022,18,,46,4LYR,,,,,Use CAC,,01,,,ML5,OGEL,NOBUILD,TM,28/04/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47805,EL024,Elmatica AS Germany,EP4932B upissue now K48843,25/04/2022,,,,6LYR,,,,,Use CAC,,B,,,ML5B,OGEL,NOBUILD,TM,29/04/2022,Anne,6,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K47836,EL024,Elmatica AS Germany,1860-5554 CB RBS15 JFP MPC SPARE LM 401032646 REV.A UTG.1,03/05/2022,,,,PTH,,,,,Use Foil,,A,,,,SIEL,NOBUILD,NDB,04/05/2022,Jen,2,,,,,,,,,Y,,,New,,1,,,,,,,,,,,x
K47838,EL001,Elmatica AS Norway,480313YY23001-02-00 MAW-400 SENSOR PSU,04/05/2022,,,,PV_BP_2N,17915/17980,,,,Use CAC,,02,,,ML5,OGEL,NOBUILD,DF,06/06/2022,Merlin,8,,,,,,,,,Y,No,,New,,1,,,,,,,,Yes,,,x
K47854,EL024,Elmatica AS Germany,EP4895B,06/05/2022,,,,PTH,,,,,Use CAC,,B,,,ML5a,OGEL,NOBUILD,TM,13/05/2022,Atoy,2,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47855,RE008,Renishaw PLC,M-5225-1901-01 Iss A RLU ALT ADC PROCESSOR RIGID PCB,06/05/2022,,,,4LYR,,,,,Use CAC,,A,,,,Yes,NOBUILD,TM,09/05/2022,Anne,4,,,,,,,,,Y,No,,New,,,,,,,,,,,,,x
K47867,EL001,Elmatica AS Norway,460057YY20401-03-00,10/05/2022,,,,PV_BP_NE,,,,,Use CAC,,03,,,ML5b,OGEL,NOBUILD,DF,13/05/2022,Merlin,6,,Yes,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K47874,EL024,Elmatica AS Germany,EP4780B1 uopissue now K48947,11/05/2022,,,,PV_BP,,,,,Use Foil,,B1,,,ML5c,OGEL,NOBUILD,DF,16/05/2022,Merlin,10,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47906,EL024,Elmatica AS Germany,EP3773B1,23/05/2022,,,,PTH,,,,,Use Foil,,B1,,,ML5c,OGEL,NOBUILD,NDB,26/05/2022,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47908,EL001,Elmatica AS Norway,460057YY20231-03-00 EWC-310 COMMS I/O PCB,23/05/2022,1,,1,PV_BPX,,,,,Use CAC,,03,,,ML5,OGEL,NOBUILD,TM,31/05/2022,Jen,12,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K47925,NC003,NCAB Group SWEDEN AB,12W28248 MASD0136A1,31/05/2022,,,,12LYR,,,,,Use Foil,,1,,,ML4A,OGEL,NOBUILD,DF,10/06/2022,Merlin,12,,,,,,,,,Y,Yes,,New,,6,,,,,,,,,,,x
K47935,EL024,Elmatica AS Germany,1860-5640 RBS15 JFP MPC ALC LM R2 401036731 REV.A UTG.1 upissue now K49273,06/06/2022,,,,PV_BP_NE,,,,,Use CAC,,A/1,,,,SIEL,NOBUILD,NDB,08/06/2022,Atoy,12,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47936,EL024,Elmatica AS Germany,1860-5641 PCB RBS15 JFP MPC BPL LM R2 401036733 REV.A UTG.1,06/06/2022,,,,PV_BP_NE,,,,,Use CAC,,A/1,,,,SIEL,NOBUILD,DF,07/06/2022,Merlin,18,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47942,EL024,Elmatica AS Germany,EP4974A upissue now K48465,07/06/2022,,,,PTH,,,,,Use CAC,,A,,,ML5a,OGEL,NOBUILD,NDB,08/06/2022,Anne,2,,Yes,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47938,EL024,Elmatica AS Germany,1860-5643 RBS15 JFP MPC LNK LM R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K47937,EL024,Elmatica AS Germany,1860-5642 RBS15 JFP MPC CBA LM R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K47951,EL024,Elmatica AS Germany,10W29421 5013245I TVKM1170403 Rev J upissue now K49812,13/06/2022,1,,49,ml_pnl20,,,,,Use Foil,,J,,,ML4a,SIEL,NOBUILD,NDB,16/06/2022,Merlin,10,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47952,EL024,Elmatica AS Germany,5013177H  TVKM1170345 K Retool of K48809,14/06/2022,,,,10LYR,,,,,Use Foil,,K,,,ML4a,SIEL,NOBUILD,NDB,15/06/2022,Merlin,10,,,,,,,,,,No,,Re-Tool,,1,,,,,,,,,,,x
K47964,EL001,Elmatica AS Norway,1052808-1,15/06/2022,,,,PV_BP_NE,,,,,Use CAC,,1,,,,Yes,NOBUILD,DF,21/06/2022,Merlin,12,,,,,,,,,Y,Yes,,New,,,,,,,,,,,,,x
K47965,EL024,Elmatica AS Germany,1860-5646 RBS15 JFP MPC CBL LM R2 401036737 REV.A UTG.1,15/06/2022,,,,PV_BP_NE,,,,,Use CAC,,A,,,,SIEL,NOBUILD,TM,20/06/2022,Atoy,16,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47974,EL001,Elmatica AS Norway,PBY389.03,17/06/2022,,,,PV_BP,,,,,Use CAC,,03,,,ML5b,OGEL,NOBUILD,NDB,22/06/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,Yes,,,x
K47978,EL024,Elmatica AS Germany,TVKM2190113 R1 2000005451  upissue now K49432,20/06/2022,,,,PV_BP,17952/17987,,,,Use Foil,,R1,,,ml5b,OGEL,NOBUILD,TM,23/06/2022,Anne,8,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47983,EL024,Elmatica AS Germany,2000004201 TVAM1170368R1,22/06/2022,,,,PV_BP_RT,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,TM,08/07/2022,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47990,EL001,Elmatica AS Norway,GEC10099A_Rev.A.0.0,23/06/2022,,,,PTH,,,,,Use CAC,,A,,,ML5a,OGEL,NOBUILD,TM,25/06/2022,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48024,EL001,Elmatica AS Norway,4109272 8843782072 PCB CONNECTOR AUDIO UNIT,30/06/2022,,,,PTH,,,,,Use Foil,,A,,,ML14,OGEL,NOBUILD,SGJ,05/08/2022,Merlin,2,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,No,,,x
K48025,EL024,Elmatica AS Germany,EP4877B,30/06/2022,12,,27A,PV_BP,19245,,,,Use CAC,,B,,,ML5,OGEL,NOBUILD,NDB,05/07/2022,Jen,10,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K48056,EL024,Elmatica AS Germany,195EP4886B EP4886 rev B retool now K48496 upissue now K48578,08/07/2022,,,,PV_BP_NE,18077,,,ON HOLD S,Use CAC,,B,,,ML5B,OGEL,NOBUILD,NDB,11/07/2022,Anne,6,,,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K48074,EL001,Elmatica AS Norway,9102048-3 PCB 22-10024-06.1 retool now K50412,13/07/2022,1,,32a,PV_BPX,,,,,Use CAC,x,3,,,ML5b,OGEL,NOBUILD,SGJ,14/07/2022,Merlin,6,,,,,,,,,Y,Yes,,Re-Tool,,1,,,,,,,,No,,,x
K48075,EL024,Elmatica AS Germany,4131565_1 PCB VIP1_3U 30001529-001_A,14/07/2022,,,,PV_BP,18407,,,,Use CAC,,1,,,ML5b,OGEL,NOBUILD,SGJ,27/07/2022,Merlin,18,,,,,,,,,Y,Yes,,Re-Tool,,1,,,,,,,,No,,,x
K48157,EL024,Elmatica AS Germany,EP4461B,11/08/2022,8,,4A,saab,,,,,Use Foil,,B,,,ML5c,OGEL,NOBUILD,DF,16/08/2022,Merlin,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K48158,HC001,HCD,HCD5248-1 BARE BOARD,11/08/2022,,,,PV_BP_NE,,,,,Use CAC,,A,,,,Yes,NOBUILD,DF,18/08/2022,Merlin,6,,,,,,,,,Y,No,,New,,,,,,,,,,,,,x
K48196,EL024,Elmatica AS Germany,1860-5658 BACKPLANE CH 2 8929275-001 REV.A UTG.A upissue now K49677,23/08/2022,,,,PV_BP_NE,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,NDB,30/08/2022,Atoy,12,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K48208,EL024,Elmatica AS Germany,ELM0052917 20002820 B Filter Board (ME59M0041947SAMP),31/08/2022,,,,6LYR,,,,,Use CAC,x,B,,,ML5a,OGEL,NOBUILD,TM,07/09/2022,Merlin,6,,,,,,,,,Y,Yes,,Re-Tool,,1,,,,,,,,No,,,x
K48230,EL024,Elmatica AS Germany,EP4179C1,09/09/2022,3,,1A,6LYR,18894,,,,Use CAC,x,C1,,,ML5a,OGEL,NOBUILD,SGJ,13/09/2022,Merlin,6,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,No,,,x
K48244,EL024,Elmatica AS Germany,EP3936C,15/09/2022,,,,4LYR,,,,,Use CAC,,C,,,ML5b,OGEL,K48244,DF,03/10/2022,Merlin,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48248,EL024,Elmatica AS Germany,TVKM1170553_R1,16/09/2022,,,,PV_BP,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,TM,03/10/2022,Atoy,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48250,EL001,Elmatica AS Norway,460057YY20001-03-00 EWC-310 SENSOR INTERFACE CARD (SIC) PCB WITH INS,20/09/2022,2,,1A,PV_BP,,,,,Use CAC,x,03,,,ML5b,OGEL,NOBUILD,DF,10/10/2022,Merlin,10,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K48252,EL001,Elmatica AS Norway,4156359 PCB BIF 3AQ 29829 AAAA ed 02,21/09/2022,36,,8A,PV_BP_NE,,,,,Use CAC,,02,,,ML11a,OGEL,NOBUILD,SGJ,23/09/2022,Merlin,6,,,,,,,,,Y,Yes,,New,,1,,,,,,,,No,,,x
K48254,EL024,Elmatica AS Germany,4157942_2 TVMM1190058,22/09/2022,,,,16LYR,,,,,Use CAC,,2,,,ML5b,OGEL,NOBUILD,DF,24/10/2022,Merlin,16,,,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K48284,EL024,Elmatica AS Germany,V01 / PCBBiasTripod 500W rev1,03/10/2022,,,,PV_BP,,,,,Use Foil,,1,,,ML5b,OGEL,NOBUILD,NDB,08/10/2022,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48285,EL024,Elmatica AS Germany,V01/ Amplifier30WPCB rev1,03/10/2022,,,,PV_BP,,,,,Use Foil,,Rev1,,,ML5B,OGEL,NOBUILD,NDB,13/10/2022,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48286,EL024,Elmatica AS Germany,V01/ Amplifier500WPCB rev1,03/10/2022,,,,PV_BP,,,46@OCT22,,Use Foil,,Rev1,,,ML5B,OGEL,NOBUILD,NDB,14/10/2022,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48322,EL024,Elmatica AS Germany,30004856-001,18/10/2022,,,,PTH,,,,,Use CAC,,A,,,Ml10A,OGEL,NOBUILD,NDB,19/10/2022,Jen,2,,,,,,,,,Y,Yes,,New,,4,,,,,,,,,,,x
K48356,EL001,Elmatica AS Norway,4052897 739 34301 ABBA Ed.3,28/10/2022,,,,4LYR,,,,,Use CAC,,3,,,Ml5b,OGEL,NOBUILD,NDB,03/11/2022,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48357,EL001,Elmatica AS Norway,4044004 3AQ24949AAAA Ed.04 PCB PIP,28/10/2022,,,,14LYR,,,,,Use CAC,,4,,,ML5b,OGEL,NOBUILD,DF,08/12/2022,Merlin,14,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48375,EL024,Elmatica AS Germany,4168172 EP4306 now K48710,02/11/2022,,,,ml_pnl,18412,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,TM,14/11/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48401,EL024,Elmatica AS Germany,8081156 8088702-002 A,17/11/2022,,,,PV_BP_NE,18357,,,,Use CAC,,A,,,ML 5a,OGEL,NOBUILD,NB,25/11/2022,Merlin,6,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K48408,EL001,Elmatica AS Norway,4152910 TV8119T299 DO_000_A,21/11/2022,,,,6LYR,,,,,Use CAC,,No Iss,,,ML5a,OGEL,NOBUILD,TM,29/11/2022,Jen,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K48409,EL024,Elmatica AS Germany,EP4303B,21/11/2022,8,,48A,4LYR,,,,,Use Foil,x,B,,,ML5b,OGEL,NOBUILD,TM,25/11/2022,Anne,4,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K48452,EL001,Elmatica AS Norway,4118754 60272777-00 Rev. A ECB,12/12/2022,,,,PV_BP,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,NDB,15/12/2022,Anne,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48457,EL001,Elmatica AS Norway,4164692 0442B03,14/12/2022,3,,19,4LYR,18513,,,,Use Foil,,No Iss,,,ML5b,OGEL,NOBUILD,TM,19/12/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48458,EL001,Elmatica AS Norway,4164698 3AQ24059AAAA Ed.01,14/12/2022,2,,19,8LYR,,,,,Use CAC,,01,,,ML5b,OGEL,NOBUILD,NDB,16/12/2022,Anne,8,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48459,EL024,Elmatica AS Germany,ELM0093158 EP3354B1,14/12/2022,5,,28A,4LYR,,,,,Use CAC,,B1,,,ML9A,OGEL,NOBUILD,NDB,19/12/2022,Atoy,4,,Yes,,,,,,,Y,No,,Up Issue,,4,,,,,,,,,,,x
K48464,EL024,Elmatica AS Germany,TVK2192047 R2,15/12/2022,1,,45,PTH,,,88@NOV'23,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,NDB,20/12/2022,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48465,EL024,Elmatica AS Germany,EP4974B,15/12/2022,13,,31B,PTH,,,,,Use Foil,,B,,,ML9A,OGEL,NOBUILD,NDB,16/12/2022,Anne,2,,,,,,,,,Y,No,,Up Issue,,4,,,,,,,,,,,x
K48473,EL001,Elmatica AS Norway,530725YY20011-03-00 REFERENCE OSCILLATOR MODULE PCB,21/12/2022,,,,PV_BP,,,,,Use Foil,,03,,,ML5b,OGEL,NOBUILD,TM,10/01/2023,Anne,4,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K48476,EL001,Elmatica AS Norway,540123YY20001-03-00 LO MODULE 21GHZ PCB,21/12/2022,,,,PV_PTFE,,,,,Use CAC,,03,,,ML5b,OGEL,NOBUILD,TM,10/02/2023,Anne,10,,,,,,,,,,Yes,,New,,1,,,,,,,,,,,x
K48478,EL001,Elmatica AS Norway,540122YY20001-04-00 LO MODULE 1 PCB,21/12/2022,,,,PV_PTFE,,,,,Use CAC,,04,,,Ml5b,OGEL,NOBUILD,TM,14/02/2023,Jen,10,,,,,,,,,,Yes,,New,,1,,,,,,,,,,,x
K48491,EL024,Elmatica AS Germany,2000002686  TVK1174336_R3,22/12/2022,4,,46,4LYR,,,,,Use Foil,,R3,,,ML5b,OGEL,NOBUILD,NDB,03/01/2023,Merlin,4,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K48505,EL024,Elmatica AS Germany,ELM0093136 8081286 TVKM1170393 R3,05/01/2023,3,,40,PV_BP,,,,,Use Foil,,R3,,,ML5b,OGEL,NOBUILD,SGJ,19/01/2023,Merlin,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,No,,,x
K48516,EL024,Elmatica AS Germany,EP4145A,09/01/2023,,,,PTH,,,,,Use Foil,x,A,,,ML5b,OGEL,NOBUILD,NDB,11/01/2023,Jen,2,,,,,,,,,,No,,New,,1,,,,,,,,,,,x
K48522,EL024,Elmatica AS Germany,EP4152A,11/01/2023,,,,PTH,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,TM,16/01/2023,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48524,EL024,Elmatica AS Germany,EP4945B,11/01/2023,1,,41,4LYR,,,24@OCT'23,,Use CAC,,B,,,ML9A,OGEL,NOBUILD,NDB,12/01/2023,Jen,4,,,,,,,,,Y,No,,Up Issue,,4,,,,,,,,,,,x
K48535,EL024,Elmatica AS Germany,EP4067C,16/01/2023,,,,saab,,,,,Use CAC,,C,,,ML5b,OGEL,NOBUILD,DF,19/01/2023,Merlin,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K48536,EL024,Elmatica AS Germany,4170964_1 TVMM1190057_R1,16/01/2023,,,,PV_BP_EM,,,,,Use CAC,,R1,,,ML5b,OGEL,NOBUILD,DF,01/02/2023,Merlin,10,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48537,NC005,NCAB Group Norway,6WA19395 GEC10072B,18/01/2023,10,,7B,ddx2_ibp,18352,,,,Use CAC,,B,,,ML5b,OGEL,NOBUILD,DF,26/01/2023,Merlin,6,,Yes,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,Yes,,,x
K48578,EL024,Elmatica AS Germany,EP4886C retool now K49769,27/01/2023,,,,PV_BP_NE,18806,,,,Use CAC,,C,,,Ml5b,OGEL,NOBUILD,TM,07/02/2023,Jen,6,,,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K48605,EL024,Elmatica AS Germany,33554016-01-0001 now K48747,07/02/2023,,,,10LYR,,,,,Use CAC,x,No Iss,,,ML5b,OGEL,NOBUILD,NDB,13/02/2023,Merlin,10,,,,,,,,,,No,,Re-Tool,,1,,,,,,,,,,,x
K48609,EL024,Elmatica AS Germany,4170238 TVMM1190049_P1A,07/02/2023,,,,PV_BP_NE,18376,,,,Use CAC,,P1A,,,ML5b,OGEL,NOBUILD,NDB,17/02/2023,Atoy,10,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K48615,EL024,Elmatica AS Germany,EP3098B,13/02/2023,,,,PTH,,,,,Use Foil,,B,,,ML4c,SIEL,NOBUILD,TM,17/02/2023,Anne,2,,,,,,,,,Y,,,New,,1,,,,,,,,,,,x
K48616,EL024,Elmatica AS Germany,4169941 EP4455B,13/02/2023,,,,4LYR,,,,,Use CAC,,B,,,ML5b,OGEL,NOBUILD,SGJ,16/02/2023,Merlin,4,,,,,,,,,Y,,,Re-Tool,,1,,,,,,,,No,,,x
